trade_id,direction,entry,sl,tp,risk_points,reward_points,rr,entry_bar,entry_bar_time,exit_bar,exit_bar_time,status,exit_reason,exit_price,pnl_points,pnl_dollars,structure_id
T0031,BUY,6574.0,6569.5,6578.5,4.5,4.5,1.0,4518,2025-09-05 14:30:00,4520,2025-09-05 15:00:00,TP_HIT,TP,6578.5,4.5,22.5,66746be0-8d06-42a0-9cfc-8e18e9c1b34f
T0032,BUY,6565.25,6554.0,6576.5,11.25,11.25,1.0,4525,2025-09-05 16:15:00,4527,2025-09-05 16:45:00,SL_HIT,SL,6554.0,-11.25,-56.25,022a743d-6302-4db8-ac63-7211e0338ffe
T0033,BUY,6537.75,6534.75,6576.75,3.0,39.0,13.0,4531,2025-09-05 17:45:00,4533,2025-09-05 18:15:00,SL_HIT,SL,6534.75,-3.0,-15.0,8efe7f15-c891-4185-9537-4de63eddde82
T0034,BUY,6537.75,6534.75,6577.75,3.0,40.0,13.33,4533,2025-09-05 18:15:00,4535,2025-09-05 18:45:00,SL_HIT,SL,6534.75,-3.0,-15.0,8efe7f15-c891-4185-9537-4de63eddde82
T0035,BUY,6551.75,6546.25,6598.5,5.5,46.75,8.5,4546,2025-09-05 21:30:00,4547,2025-09-05 21:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,c2fc9670-8b01-4c3a-a04f-85432019df51
T0036,BUY,6537.75,6527.3,6583.0,10.45,45.25,4.33,4549,2025-09-05 22:15:00,4732,2025-09-09 22:00:00,TP_HIT,TP,6583.0,45.25,226.25,8efe7f15-c891-4185-9537-4de63eddde82
T0037,BUY,6580.25,6567.3,6593.2,12.95,12.95,1.0,4736,2025-09-09 23:00:00,4756,2025-09-10 05:00:00,EXPIRED,estructura no existe,0.0,0.0,0.0,LG_15_20250909_220000_BuySide
T0038,BUY,6596.75,6583.05,6610.45,13.7,13.7,1.0,4770,2025-09-10 08:30:00,4795,2025-09-10 14:45:00,TP_HIT,TP,6610.45,13.7,68.5,LG_15_20250910_083000_BuySide
T0039,BUY,6590.75,6583.0,6598.5,7.75,7.75,1.0,4811,2025-09-10 18:45:00,4821,2025-09-10 21:15:00,SL_HIT,SL,6583.0,-7.75,-38.75,5b3014e2-3eaf-4e39-8035-3be9b0b225bd
T0040,BUY,6582.0,6578.5,6596.75,3.5,14.75,4.21,4821,2025-09-10 21:15:00,4824,2025-09-10 22:00:00,TP_HIT,TP,6596.75,14.75,73.75,a9b29cd1-e811-4629-9e23-bb153f419e49
T0041,BUY,6595.75,6585.8,6605.7,9.95,9.95,1.0,4825,2025-09-10 22:15:00,4863,2025-09-11 08:45:00,TP_HIT,TP,6605.7,9.95,49.75,136f7baa-e90e-4e79-8b83-4253fd18f47d
T0042,BUY,6606.0,6593.55,6618.75,12.45,12.75,1.02,4889,2025-09-11 15:15:00,4895,2025-09-11 16:45:00,EXPIRED,Distancia: 36,0.0,0.0,0.0,90db99ed-05e8-4dda-a976-653f9760154c
T0043,BUY,6641.75,6638.75,6644.75,3.0,3.0,1.0,4925,2025-09-12 01:15:00,4961,2025-09-12 10:15:00,SL_HIT,SL,6638.75,-3.0,-15.0,145307b7-015a-4272-85ce-5f2e72f35425
T0044,BUY,6643.75,6639.25,6648.25,4.5,4.5,1.0,4962,2025-09-12 10:30:00,4981,2025-09-12 15:15:00,TP_HIT,TP,6648.25,4.5,22.5,ea03b17e-86d4-41b5-80a7-34c32d04d545
T0045,BUY,6635.5,6632.5,6648.0,3.0,12.5,4.17,4983,2025-09-12 15:45:00,5003,2025-09-12 20:45:00,EXPIRED,score decayó a 0,0.0,0.0,0.0,f77f81fa-8a13-4d9a-8440-981edc1059a7
T0046,BUY,6639.75,6632.55,6648.0,7.2,8.25,1.15,5018,2025-09-15 01:30:00,5038,2025-09-15 06:30:00,EXPIRED,estructura no existe,0.0,0.0,0.0,LG_15_20250912_214500_SellSide
T0047,BUY,6666.75,6653.55,6679.95,13.2,13.2,1.0,5077,2025-09-15 16:15:00,5100,2025-09-15 22:00:00,TP_HIT,TP,6679.95,13.2,66.0,b9cd462f-eb90-4864-8357-f2cc45e7c665
T0048,BUY,6663.5,6650.8,6677.0,12.7,13.5,1.06,5108,2025-09-16 01:00:00,5128,2025-09-16 06:00:00,EXPIRED,estructura no existe,0.0,0.0,0.0,LG_15_20250915_204500_SellSide
T0049,BUY,6687.25,6672.8,6701.7,14.45,14.45,1.0,5138,2025-09-16 08:30:00,5168,2025-09-16 16:00:00,SL_HIT,SL,6672.8,-14.45,-72.25,769d4982-6741-432b-a021-04b177578fb8
T0050,BUY,6672.75,6669.75,6678.5,3.0,5.75,1.92,5168,2025-09-16 16:00:00,5170,2025-09-16 16:30:00,SL_HIT,SL,6669.75,-3.0,-15.0,16cbb0ef-e610-4c20-87bd-49f5c45fc20a
T0051,BUY,6670.25,6660.5,6689.0,9.75,18.75,1.92,5172,2025-09-16 17:00:00,5239,2025-09-17 10:45:00,SL_HIT,SL,6660.5,-9.75,-48.75,LG_15_20250916_160000_SellSide
T0052,SELL,6665.25,6679.5,6651.0,14.25,14.25,1.0,5242,2025-09-17 11:30:00,5271,2025-09-17 18:45:00,TP_HIT,TP,6651.0,14.25,71.25,569e6ed9-59b6-4710-871f-1aefbcf118a2
T0053,SELL,6664.0,6678.75,6649.25,14.75,14.75,1.0,5278,2025-09-17 20:30:00,5280,2025-09-17 21:00:00,TP_HIT,TP,6649.25,14.75,73.75,d62d94f1-c6b4-4ac1-a7d4-a40c038c9084
T0054,SELL,6679.0,6686.95,6663.75,7.95,15.25,1.92,5282,2025-09-17 21:30:00,5307,2025-09-18 04:45:00,SL_HIT,SL,6686.95,-7.95,-39.75,0545e0fd-c52a-4c50-ad35-448dfe291501
T0055,BUY,6676.75,6673.75,6684.5,3.0,7.75,2.58,5318,2025-09-18 07:30:00,5338,2025-09-18 12:30:00,EXPIRED,score decayó a 0,0.0,0.0,0.0,875d3a30-cedf-47a5-ba37-a7b8286d5001
T0056,BUY,6710.0,6703.5,6716.5,6.5,6.5,1.0,5338,2025-09-18 12:30:00,5341,2025-09-18 13:15:00,TP_HIT,TP,6716.5,6.5,32.5,d74c7106-6ead-4bc2-b40e-fcc6b74ce4d6
T0057,BUY,6711.0,6703.5,6718.5,7.5,7.5,1.0,5341,2025-09-18 13:15:00,5347,2025-09-18 14:45:00,SL_HIT,SL,6703.5,-7.5,-37.5,e45bdb34-c1f5-40df-88c3-c401a61ee000
T0058,BUY,6710.5,6707.25,6713.75,3.25,3.25,1.0,5347,2025-09-18 14:45:00,5351,2025-09-18 15:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,2068521e-c97b-4a8b-8f75-4ad9a9d106b3
T0059,BUY,6709.75,6706.75,6712.75,3.0,3.0,1.0,5353,2025-09-18 16:15:00,5355,2025-09-18 16:45:00,SL_HIT,SL,6706.75,-3.0,-15.0,ea68b7ed-db9e-44d4-a56a-4b93fa9cd9cd
T0060,BUY,6708.25,6705.25,6717.25,3.0,9.0,3.0,5355,2025-09-18 16:45:00,5359,2025-09-18 17:45:00,SL_HIT,SL,6705.25,-3.0,-15.0,cf81181c-8303-443d-90fb-8ef43f3ece2d
T0061,BUY,6717.25,6706.5,6728.0,10.75,10.75,1.0,5359,2025-09-18 17:45:00,5465,2025-09-19 21:15:00,EXPIRED,estructura no existe,0.0,0.0,0.0,LG_15_20250918_164500_BuySide
T0062,BUY,6719.75,6708.3,6731.2,11.45,11.45,1.0,5466,2025-09-19 21:30:00,5509,2025-09-22 09:15:00,SL_HIT,SL,6708.3,-11.45,-57.25,c4efd23e-6272-4701-a02c-92b0386199c8
T0063,BUY,6697.25,6687.05,6712.25,10.2,15.0,1.47,5509,2025-09-22 09:15:00,5535,2025-09-22 15:45:00,TP_HIT,TP,6712.25,15.0,75.0,2dfed8f1-a1e9-4c36-9064-9810d650268f
T0064,BUY,6752.25,6744.05,6760.45,8.2,8.2,1.0,5580,2025-09-23 04:00:00,5617,2025-09-23 13:15:00,SL_HIT,SL,6744.05,-8.2,-41.0,LG_15_20250923_040000_BuySide
T0065,BUY,6749.5,6742.5,6756.5,7.0,7.0,1.0,5617,2025-09-23 13:15:00,5628,2025-09-23 16:00:00,TP_HIT,TP,6756.5,7.0,35.0,e658bf39-63d4-4a59-9eec-c557397f8406
T0066,BUY,6745.0,6741.0,6752.25,4.0,7.25,1.81,5628,2025-09-23 16:00:00,5635,2025-09-23 17:45:00,SL_HIT,SL,6741.0,-4.0,-20.0,8d581efe-2ed1-48a2-8325-0833f9a1dc8f
T0067,BUY,6744.0,6741.0,6747.0,3.0,3.0,1.0,5635,2025-09-23 17:45:00,5642,2025-09-23 19:30:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,ef39d4b8-8cd8-46dd-bbd6-0c0b5748963a
T0068,SELL,6705.75,6719.45,6681.25,13.7,24.5,1.79,5745,2025-09-24 22:15:00,5765,2025-09-25 04:15:00,EXPIRED,estructura no existe,0.0,0.0,0.0,LG_15_20250924_171500_SellSide
T0069,SELL,6694.5,6705.45,6683.55,10.95,10.95,1.0,5774,2025-09-25 06:30:00,5798,2025-09-25 12:30:00,TP_HIT,TP,6683.55,10.95,54.75,ea5711e2-b539-4f42-82b8-9649a5ac6b12
T0070,SELL,6664.5,6678.0,6651.0,13.5,13.5,1.0,5881,2025-09-26 10:15:00,5899,2025-09-26 14:45:00,SL_HIT,SL,6678.0,-13.5,-67.5,2e347a19-a714-4970-ad24-074fa65cc750
T0071,BUY,6723.75,6714.8,6732.7,8.95,8.95,1.0,5981,2025-09-29 12:15:00,5992,2025-09-29 15:00:00,TP_HIT,TP,6732.7,8.95,44.75,e063ac8a-48b1-4f8c-848f-003b61056a19
T0072,BUY,6727.5,6714.8,6740.2,12.7,12.7,1.0,5994,2025-09-29 15:30:00,6002,2025-09-29 17:30:00,SL_HIT,SL,6714.8,-12.7,-63.5,3e657103-a722-40c0-b4f8-e259d45f4131
T0073,BUY,6723.5,6714.8,6732.2,8.7,8.7,1.0,6002,2025-09-29 17:30:00,6110,2025-09-30 21:30:00,TP_HIT,TP,6732.2,8.7,43.5,e8d49de7-8627-473d-8088-66b9a32d678b
T0074,BUY,6723.25,6720.25,6726.25,3.0,3.0,1.0,6110,2025-09-30 21:30:00,6116,2025-09-30 23:00:00,TP_HIT,TP,6726.25,3.0,15.0,11083563-c27f-4c8d-b31d-72e4df36b627
T0075,BUY,6723.25,6720.05,6743.75,3.2,20.5,6.41,6125,2025-10-01 02:15:00,6179,2025-10-01 15:45:00,EXPIRED,estructura no existe,0.0,0.0,0.0,11083563-c27f-4c8d-b31d-72e4df36b627
T0076,BUY,6724.5,6711.55,6737.45,12.95,12.95,1.0,6179,2025-10-01 15:45:00,6181,2025-10-01 16:15:00,SL_HIT,SL,6711.55,-12.95,-64.75,89032588-2bc8-4324-8ff8-5a585950f4ff
T0077,BUY,6732.75,6729.75,6735.75,3.0,3.0,1.0,6191,2025-10-01 18:45:00,6198,2025-10-01 20:30:00,EXPIRED,Distancia: 30,0.0,0.0,0.0,958332b9-9869-4227-bbea-622237832f92
T0078,BUY,6756.5,6753.5,6769.25,3.0,12.75,4.25,6205,2025-10-01 22:15:00,6221,2025-10-02 03:15:00,TP_HIT,TP,6769.25,12.75,63.75,bc5abd77-6716-4f74-a878-9711ec51e1d7
T0079,BUY,6767.5,6755.8,6779.2,11.7,11.7,1.0,6227,2025-10-02 04:45:00,6265,2025-10-02 14:15:00,TP_HIT,TP,6779.2,11.7,58.5,49c72cd6-0119-41d3-878e-fb0fbaedbe94
T0080,BUY,6775.5,6763.3,6787.7,12.2,12.2,1.0,6265,2025-10-02 14:15:00,6272,2025-10-02 16:00:00,SL_HIT,SL,6763.3,-12.2,-61.0,57643eb7-86b7-4e9b-b2ef-dd0565e26727
T0081,BUY,6776.75,6763.3,6790.2,13.45,13.45,1.0,6272,2025-10-02 16:00:00,6316,2025-10-03 04:00:00,EXPIRED,score decayó a 0,0.0,0.0,0.0,c1747702-6287-4eea-a02f-3dbd142ace83
T0082,BUY,6781.25,6766.8,6795.7,14.45,14.45,1.0,6329,2025-10-03 07:15:00,6360,2025-10-03 15:00:00,SL_HIT,SL,6766.8,-14.45,-72.25,47da21f1-5cc5-4000-8be3-69ecf85d38ee
T0083,BUY,6781.75,6771.8,6791.7,9.95,9.95,1.0,6360,2025-10-03 15:00:00,6367,2025-10-03 16:45:00,TP_HIT,TP,6791.7,9.95,49.75,60508156-23dd-4633-931f-d27b69369c2c
T0084,BUY,6795.25,6782.3,6808.2,12.95,12.95,1.0,6377,2025-10-03 19:15:00,6380,2025-10-03 20:00:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,fdf69f5e-1a91-413f-8e5c-205ee160e657
T0085,BUY,6780.25,6766.05,6795.75,14.2,15.5,1.09,6382,2025-10-03 20:30:00,6386,2025-10-03 21:30:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,7466050f-cb9f-4649-a155-7482dfe5d6c6
T0086,BUY,6776.25,6765.3,6787.2,10.95,10.95,1.0,6387,2025-10-03 21:45:00,6388,2025-10-03 22:00:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,e8fba5e5-fd3b-4a30-9616-2a833c585330
T0087,BUY,6787.5,6776.05,6798.95,11.45,11.45,1.0,6399,2025-10-06 01:45:00,6431,2025-10-06 09:45:00,SL_HIT,SL,6776.05,-11.45,-57.25,79d4e83e-b102-4653-a662-5af010643b23
T0088,BUY,6782.5,6774.55,6790.45,7.95,7.95,1.0,6431,2025-10-06 09:45:00,6443,2025-10-06 12:45:00,TP_HIT,TP,6790.45,7.95,39.75,1658c4cd-e789-4342-881e-fb7afb20e177
